,time,client_idx,neighbors,round_idx,epoch,data_size,train_loss,global_test_acc,global_test_loss
0,2024-10-25 14:42:30.437761,14,"[1, 5]",0,0,2749,2.3001718465671983,0.101,2.2984625415802
1,2024-10-25 14:42:31.770068,14,"[1, 5]",0,1,2749,2.2966761727665745,0.101,2.2952507205963135
2,2024-10-25 14:42:33.170257,3,"[1, 2, 4, 5, 7, 9, 11]",0,0,3272,2.3035030330099713,0.1097,2.299455407333374
3,2024-10-25 14:42:34.569925,3,"[1, 2, 4, 5, 7, 9, 11]",0,1,3272,2.2989421321124563,0.1529,2.2953144260406493
4,2024-10-25 14:42:35.935680,0,[2],0,0,2916,2.3017674625897016,0.1007,2.2992045387268067
5,2024-10-25 14:42:37.291426,0,[2],0,1,2916,2.2979129455128655,0.1176,2.2955221542358397
6,2024-10-25 14:42:38.621658,8,"[2, 7, 13]",0,0,2725,2.3086205114398086,0.0858,2.3020187461853028
7,2024-10-25 14:42:39.954153,8,"[2, 7, 13]",0,1,2725,2.3045271279519066,0.1287,2.2989077804565428
8,2024-10-25 14:42:41.281676,13,"[1, 8]",0,0,2670,2.3042594215827075,0.1315,2.300917999267578
9,2024-10-25 14:42:42.606292,13,"[1, 8]",0,1,2670,2.3004745480543125,0.1731,2.2976391120910646
10,2024-10-25 14:42:43.995635,12,"[4, 11]",0,0,3148,2.3032212136360593,0.1085,2.2986565353393553
11,2024-10-25 14:42:45.385340,12,"[4, 11]",0,1,3148,2.297705545038136,0.1266,2.294451904296875
12,2024-10-25 14:42:46.718488,5,"[1, 3, 7, 14]",0,0,2703,2.3014030244928847,0.1108,2.2990824264526366
13,2024-10-25 14:42:48.054185,5,"[1, 3, 7, 14]",0,1,2703,2.297277213553705,0.138,2.2952388542175295
14,2024-10-25 14:42:49.405295,4,"[2, 3, 12]",0,0,2681,2.3000804895446416,0.101,2.3018133079528806
15,2024-10-25 14:42:50.743787,4,"[2, 3, 12]",0,1,2681,2.2965839888368333,0.1032,2.298734142303467
16,2024-10-25 14:42:52.113688,9,"[1, 3]",0,0,3000,2.303547869337366,0.0977,2.3016677139282224
17,2024-10-25 14:42:53.478987,9,"[1, 3]",0,1,3000,2.2995964174574994,0.0989,2.297919255065918
18,2024-10-25 14:42:54.760607,6,"[1, 2, 10]",0,0,2259,2.3008634238175945,0.0994,2.2983745403289797
19,2024-10-25 14:42:56.034513,6,"[1, 2, 10]",0,1,2259,2.2975803294651946,0.1229,2.2953324542999267
20,2024-10-25 14:42:57.387427,10,"[1, 6]",0,0,2842,2.2996169382266785,0.1244,2.2992977840423583
21,2024-10-25 14:42:58.734199,10,"[1, 6]",0,1,2842,2.2947885400793524,0.1755,2.2954364627838135
22,2024-10-25 14:43:00.066263,11,"[3, 7, 12]",0,0,2692,2.302635451040324,0.098,2.3009582973480223
23,2024-10-25 14:43:01.399708,11,"[3, 7, 12]",0,1,2692,2.2989580066951776,0.098,2.297599560165405
24,2024-10-25 14:43:02.708340,7,"[3, 5, 8, 11]",0,0,2535,2.3020441592114524,0.0909,2.3006851737976075
25,2024-10-25 14:43:04.012109,7,"[3, 5, 8, 11]",0,1,2535,2.2981569437110947,0.0941,2.29739036026001
26,2024-10-25 14:43:05.390015,1,"[2, 3, 5, 6, 9, 10, 13, 14]",0,0,3068,2.3002902356286845,0.0982,2.2984576221466066
27,2024-10-25 14:43:06.767827,1,"[2, 3, 5, 6, 9, 10, 13, 14]",0,1,3068,2.2957883266111216,0.0985,2.294462334060669
